'strain','stress'
0.00663,5.68783
0.00648,7.49973
0.00616,7.3602
0.00646,5.04673
0.0062,7.28117
0.00661,5.25226
0.00676,5.85944
0.0066,5.47839
0.00638,5.17219
0.00642,5.38762
0.00641,6.12105
0.0068,6.87585
0.00676,5.45465
0.00688,6.84612
0.00642,6.28014
0.00629,6.41421
0.00691,6.74858
0.00622,6.05167
0.00668,5.10724
0.00701,6.28771
0.00693,5.34746
0.007,5.82606
0.00704,7.81167
0.00658,5.29555
0.00706,5.4111
0.00611,7.1784
0.00683,5.64062
0.00708,6.1333
0.0067,6.42073
0.00694,6.03367
0.00728,7.65153
0.00687,7.09155
0.00679,5.71704
0.00682,6.31588
0.00708,4.99014
0.00694,5.34772
0.00723,7.08712
0.00661,6.66094
0.00713,4.46772
0.00755,5.73451
0.00655,6.20972
0.00657,5.56185
0.00695,5.20844
0.00689,5.36102
0.00704,4.39234
0.00681,6.80048
0.00671,5.1881
0.00693,5.79215
0.00703,5.7619
0.00743,4.75827
0.00721,4.89024
0.00722,7.06625
0.00772,6.77883
0.00761,7.60302
0.0074,6.42985
0.00718,6.55322
0.00716,6.82995
0.00718,4.33783
0.00729,5.44657
0.00687,6.40456
0.00741,6.60669
0.00657,5.65627
0.00665,4.99483
0.00699,5.88109
0.00735,6.09027
0.00725,5.84588
0.0071,5.26478
0.00712,5.41892
0.00718,7.15337
0.00744,6.70893
0.0074,5.60436
0.00727,6.14295
0.00735,5.32998
0.00699,5.0942
0.00743,6.9288
0.00742,5.09133
0.00717,6.17451
0.007,4.44972
0.00731,6.51697
0.00737,6.02011
0.00679,5.67739
0.00709,5.96508
0.00706,6.77909
0.00748,5.08951
0.00717,5.62053
0.00712,6.4009
0.00809,6.68467
0.0071,5.57724
0.00715,7.15389
0.00732,6.47237
0.00768,4.53657
0.00703,5.6813
0.00791,5.4956
0.00775,5.09107
0.00741,6.62834
0.00769,5.57333
0.0072,6.78744
0.00727,8.3041
0.00716,5.7572
0.0073,5.662
0.00721,6.79552
0.00792,6.30701
0.00732,5.60645
0.00712,6.02298
0.00756,6.30336
0.00721,6.42177
0.00702,6.03028
0.00735,6.51201
0.00655,5.29373
0.00747,6.5347
0.00716,6.18573
0.00745,8.03024
0.00737,5.69017
0.00751,4.09474
0.00779,6.31979
0.00781,5.69461
0.00756,5.75538
0.00734,6.85682
0.00746,4.97683
0.00749,6.17947
0.00752,6.58452
0.00736,6.54175
0.00772,6.95123
0.0076,6.11322
0.00743,5.25982
0.00787,6.04645
0.00713,7.38054
0.00759,5.21835
0.00743,5.12628
0.00722,5.87744
0.0074,5.17506
0.00732,5.81928
0.00724,5.20401
0.00737,5.30312
0.00746,6.20685
0.00724,6.23137
0.00694,5.3485
0.00759,6.64086
