,Grain,STEP_0_ROD_1,STEP_0_ROD_2,STEP_0_ROD_3,STEP_1_ROD_1,STEP_1_ROD_2,STEP_1_ROD_3,STEP_2_ROD_1,STEP_2_ROD_2,STEP_2_ROD_3,STEP_3_ROD_1,STEP_3_ROD_2,STEP_3_ROD_3,STEP_4_ROD_1,STEP_4_ROD_2,STEP_4_ROD_3,STEP_5_ROD_1,STEP_5_ROD_2,STEP_5_ROD_3,STEP_6_ROD_1,STEP_6_ROD_2,STEP_6_ROD_3,STEP_7_ROD_1,STEP_7_ROD_2,STEP_7_ROD_3,STEP_8_ROD_1,STEP_8_ROD_2,STEP_8_ROD_3,STEP_9_ROD_1,STEP_9_ROD_2,STEP_9_ROD_3,STEP_10_ROD_1,STEP_10_ROD_2,STEP_10_ROD_3,STEP_11_ROD_1,STEP_11_ROD_2,STEP_11_ROD_3,STEP_12_ROD_1,STEP_12_ROD_2,STEP_12_ROD_3,STEP_13_ROD_1,STEP_13_ROD_2,STEP_13_ROD_3,STEP_14_ROD_1,STEP_14_ROD_2,STEP_14_ROD_3,STEP_15_ROD_1,STEP_15_ROD_2,STEP_15_ROD_3,STEP_16_ROD_1,STEP_16_ROD_2,STEP_16_ROD_3,STEP_17_ROD_1,STEP_17_ROD_2,STEP_17_ROD_3,STEP_18_ROD_1,STEP_18_ROD_2,STEP_18_ROD_3,STEP_19_ROD_1,STEP_19_ROD_2,STEP_19_ROD_3,STEP_20_ROD_1,STEP_20_ROD_2,STEP_20_ROD_3,STEP_21_ROD_1,STEP_21_ROD_2,STEP_21_ROD_3,STEP_22_ROD_1,STEP_22_ROD_2,STEP_22_ROD_3,STEP_23_ROD_1,STEP_23_ROD_2,STEP_23_ROD_3,STEP_24_ROD_1,STEP_24_ROD_2,STEP_24_ROD_3,STEP_25_ROD_1,STEP_25_ROD_2,STEP_25_ROD_3,STEP_26_ROD_1,STEP_26_ROD_2,STEP_26_ROD_3
0,1,-61.358010000000,-5.642879000000,-12.497190000000,-62.108723757410,-5.716977146065,-12.654477783026,-67.064578710573,-6.204665214622,-13.698440832914,-68.873622428224,-6.382673544029,-14.079598804939,-70.730628587393,-6.565117416939,-14.471011211944,-72.632525054600,-6.751602511944,-14.872099013120,-74.579304861023,-6.942080945122,-15.282896252857,-80.573503687350,-7.524712079219,-16.549911888677,-82.733504884327,-7.734222415947,-17.006666276477,-84.954322091352,-7.949160740329,-17.476483378614,-87.241352058588,-8.170034807519,-17.960490798375,-89.599967721564,-8.397350213628,-18.459814410301,-97.031887376767,-9.109517680077,-20.034374003680,-99.738937381871,-9.368482983588,-20.607994421750,-102.547482681377,-9.636698251535,-21.203224888961,-105.465790439889,-9.914940124182,-21.821804493103,-108.502373771362,-10.204004474641,-22.465526120535,-118.287586569354,-11.131508496367,-24.540280378913,-121.902434087324,-11.473724443590,-25.306740178342,-125.690609492643,-11.831904811638,-26.109973788228,-129.667771165840,-12.207516414948,-26.953286779253,-133.850407394884,-12.602094595165,-27.840170547903,-138.256743415225,-13.017341290584,-28.774474844677,-142.906942570179,-13.455136477808,-29.760470827387,-147.823556433136,-13.917581351722,-30.802929230121,-153.031760424028,-14.407021443090,-31.907177400997,-158.559998405956,-14.926105724889,-33.079239662184
1,2,0.950981400000,0.205627200000,0.777965100000,0.951321179901,0.205473320684,0.777965421768,0.952329667572,0.204968788276,0.777457213808,0.952619533041,0.204819174862,0.777243938439,0.952883306465,0.204678080566,0.777002388546,0.953127700587,0.204542395801,0.776739092329,0.953355269139,0.204411005215,0.776457552765,0.953906653344,0.204042221307,0.775490381661,0.954076405373,0.203921824750,0.775155643957,0.954232728334,0.203803701837,0.774809746667,0.954376005110,0.203687508582,0.774453443273,0.954506632389,0.203572989779,0.774087486420,0.954793297049,0.203239503245,0.772916830686,0.954877438678,0.203129329227,0.772519160535,0.954950717523,0.203020126697,0.772114597518,0.955013397288,0.202911712830,0.771703507333,0.955065813969,0.202803995717,0.771286300769,0.955138231466,0.202484887924,0.769987589179,0.955153177782,0.202378894410,0.769549878448,0.955159408908,0.202273338126,0.769107686794,0.955157155905,0.202168126075,0.768661218761,0.955146695453,0.202063212071,0.768210703488,0.955128288295,0.201958562206,0.767756369011,0.955102195792,0.201854140046,0.767298421070,0.955068673045,0.201749929235,0.766837063226,0.955027958050,0.201645903906,0.766372488087,0.954980278354,0.201542037850,0.765904860351
2,3,-0.092713080000,-0.350822300000,0.187887600000,-0.092398563244,-0.350896571574,0.188143034299,-0.090257748836,-0.350977225447,0.189645868430,-0.089530953992,-0.350992946345,0.190136310755,-0.088802544861,-0.351007399892,0.190616101686,-0.088074407675,-0.351022991071,0.191089152724,-0.087346874506,-0.351040608531,0.191557407768,-0.085163522343,-0.351114665452,0.192934632546,-0.084437101621,-0.351141621177,0.193390879919,-0.083710608916,-0.351170715934,0.193844472259,-0.082983809474,-0.351201867378,0.194295658034,-0.082256513004,-0.351234901693,0.194744534675,-0.080064630452,-0.351347650513,0.196072451520,-0.079333691936,-0.351386578030,0.196513035235,-0.078601604507,-0.351426725336,0.196951490386,-0.077868248904,-0.351468017801,0.197387952704,-0.077133551332,-0.351510390382,0.197822410754,-0.074914594047,-0.351645654364,0.199108429296,-0.074173791546,-0.351691600490,0.199535175870,-0.073431386336,-0.351738281134,0.199959910971,-0.072687305842,-0.351785726517,0.200382720178,-0.071941517220,-0.351833896652,0.200803625989,-0.071193993144,-0.351882789017,0.201222661289,-0.070444709796,-0.351932375389,0.201639819391,-0.069693642132,-0.351982613758,0.202055114373,-0.068940780681,-0.352033545892,0.202468578095,-0.068186108437,-0.352085124869,0.202880164495
3,4,-0.100071900000,-0.125812900000,0.305064700000,-0.099969249452,-0.125948104545,0.304988559271,-0.099407930253,-0.126573321819,0.304608277854,-0.099218990505,-0.126778124026,0.304481741138,-0.099029352674,-0.126980087350,0.304353997590,-0.098838870366,-0.127179915582,0.304224715957,-0.098647524091,-0.127377981946,0.304094021646,-0.098066698909,-0.127959215948,0.303692156263,-0.097871976158,-0.128151039405,0.303557470474,-0.097676506735,-0.128341334112,0.303422160967,-0.097480263626,-0.128530125040,0.303286306980,-0.097283250712,-0.128717411221,0.303149963074,-0.096686021255,-0.129267183091,0.302737778641,-0.096485971765,-0.129448787269,0.302600253320,-0.096285211587,-0.129629016244,0.302462622466,-0.096083729301,-0.129807922973,0.302324916841,-0.095881526051,-0.129985530948,0.302187178828,-0.095269037246,-0.130508290268,0.301773920737,-0.095063999932,-0.130681231395,0.301636275516,-0.094858290716,-0.130853060583,0.301498731325,-0.094651908021,-0.131023824132,0.301361287125,-0.094444857674,-0.131193558263,0.301223953210,-0.094237148469,-0.131362314732,0.301086732680,-0.094028792850,-0.131530103780,0.300949633171,-0.093819798712,-0.131696984834,0.300812674120,-0.093610179124,-0.131862978609,0.300675870478,-0.093399944723,-0.132028126178,0.300539216601
4,5,0.877760900000,-0.847654700000,0.214219100000,0.877238075134,-0.847347311892,0.213993781574,0.875064831023,-0.846827026409,0.212723439053,0.874397870997,-0.846704682162,0.212313252790,0.873762129098,-0.846601409383,0.211914223877,0.873144257954,-0.846505918308,0.211524568337,0.872538246026,-0.846413702729,0.211143416600,0.870776781938,-0.846139291967,0.210058599664,0.870196208998,-0.846048151325,0.209704286008,0.869620510847,-0.845955959065,0.209356146664,0.869048976996,-0.845862615349,0.209013699243,0.868481092233,-0.845767964122,0.208676547235,0.866799319126,-0.845471143843,0.207702856408,0.866241538997,-0.845371005018,0.207382821498,0.865685954677,-0.845269203412,0.207066866233,0.865132281557,-0.845165835216,0.206754759078,0.864580331903,-0.845060929377,0.206446330516,0.862934603274,-0.844733130758,0.205549059893,0.862387414177,-0.844622513003,0.205253249524,0.861841308133,-0.844510369684,0.204960501101,0.861296070029,-0.844396716255,0.204670625781,0.860751583060,-0.844281585837,0.204383512773,0.860207740179,-0.844164991603,0.204099058223,0.859664467043,-0.844046965331,0.203817158988,0.859121694388,-0.843927534163,0.203537712673,0.858579386256,-0.843806738172,0.203260621748,0.858037488206,-0.843684618193,0.202985803666
5,6,-0.215904900000,0.732510400000,-0.516046900000,-0.216004071050,0.732951983499,-0.516399288297,-0.216756507587,0.735731123112,-0.518786621847,-0.217017008198,0.736672475601,-0.519601511172,-0.217278496055,0.737613125246,-0.520414246756,-0.217539557844,0.738550793100,-0.521221610611,-0.217800345862,0.739485359853,-0.522023202857,-0.218589301950,0.742268879074,-0.524384603630,-0.218852989459,0.743195788731,-0.525168067536,-0.219117931335,0.744121417231,-0.525947240374,-0.219384274417,0.745046018077,-0.526722569839,-0.219652133181,0.745969827594,-0.527494366578,-0.220470921080,0.748736605706,-0.529782473239,-0.220745454496,0.749659690631,-0.530543458024,-0.221021788783,0.750582916332,-0.531301886688,-0.221299921730,0.751506401736,-0.532058025088,-0.221579861043,0.752430244939,-0.532812034889,-0.222435634924,0.755204683486,-0.535056273054,-0.222722637865,0.756131173108,-0.535803646696,-0.223011429459,0.757058501851,-0.536549421229,-0.223301961606,0.757986708114,-0.537293769058,-0.223594195294,0.758915865352,-0.538036796007,-0.223888087543,0.759846009306,-0.538778566754,-0.224183599550,0.760777184160,-0.539519172347,-0.224480705041,0.761709422392,-0.540258679954,-0.224779356980,0.762642745940,-0.540997136923,-0.225079517567,0.763577179595,-0.541734610212
6,7,-3.413129000000,0.534939700000,-4.928971000000,-3.420943727907,0.536073022736,-4.941491900519,-3.466884992406,0.542368353153,-5.008255719098,-3.482544712246,0.544580656370,-5.030841240526,-3.498201452485,0.546860511664,-5.053403513915,-3.513885546577,0.549204603051,-5.076001900079,-3.529628425937,0.551611427484,-5.098675330237,-3.577432387630,0.559291650675,-5.167315339202,-3.593627667194,0.561931835728,-5.190544921110,-3.609947944102,0.564625037961,-5.213922569067,-3.626408237322,0.567371940264,-5.237467863028,-3.643017889164,0.570171992841,-5.261192981893,-3.693909771891,0.578962033139,-5.333569812473,-3.711198778347,0.581971986140,-5.358125522419,-3.728661543739,0.585031398884,-5.382891387699,-3.746307037486,0.588141669085,-5.407879018971,-3.764139846274,0.591302840291,-5.433095448908,-3.818914368620,0.601155422137,-5.510232459853,-3.837544073589,0.604523975759,-5.536437529852,-3.856374163019,0.607942349739,-5.562890840999,-3.875411880599,0.611412346270,-5.589602238421,-3.894661032216,0.614934438047,-5.616577216534,-3.914125467514,0.618509006707,-5.643821255022,-3.933809037309,0.622136377830,-5.671339436443,-3.953715267018,0.625816914830,-5.699137217309,-3.973847560215,0.629550921021,-5.727218778394,-3.994209788054,0.633338806957,-5.755589670188
7,8,0.223128100000,0.479510600000,0.244812600000,0.223114208116,0.479498369365,0.244817912844,0.223304936400,0.479649561374,0.244956010998,0.223383106782,0.479698527967,0.245009996779,0.223464560704,0.479741270892,0.245065483481,0.223546528294,0.479778732632,0.245121127658,0.223628340875,0.479812152473,0.245176623285,0.223873921263,0.479891906983,0.245341804524,0.223956571126,0.479917284841,0.245397095913,0.224039612269,0.479941424039,0.245452417962,0.224123259834,0.479964660889,0.245507857186,0.224207684480,0.479987263269,0.245563455386,0.224469478042,0.480052775069,0.245731857820,0.224558352395,0.480074998843,0.245788494075,0.224648385828,0.480097362267,0.245845394238,0.224739673220,0.480119994979,0.245902613601,0.224832262007,0.480142991440,0.245960160000,0.225121173225,0.480215891095,0.246135223509,0.225219221620,0.480241103990,0.246194057899,0.225318564987,0.480266950992,0.246253166250,0.225419239836,0.480293484612,0.246312578003,0.225521250852,0.480320751898,0.246372278100,0.225624581410,0.480348768700,0.246432251722,0.225729229058,0.480377572646,0.246492492017,0.225835182394,0.480407187590,0.246552982167,0.225942430845,0.480437631500,0.246613712241,0.226050966399,0.480468918156,0.246674673385
8,9,8.161167000000,2.023674000000,9.701425000000,8.148958622384,2.019754682858,9.689486288814,8.074818617278,1.996894209684,9.612679175953,8.049625849745,1.989204427752,9.586419437619,8.024226496720,1.981488388210,9.559922544155,7.998735184944,1.973755885314,9.533339708272,7.973212787943,1.966012980499,9.506736864751,7.896580575378,1.942669711106,9.426858385566,7.871260265230,1.934940804941,9.400460726767,7.846026789380,1.927224165896,9.374145599698,7.820892421224,1.919522237125,9.347923295610,7.795867134198,1.911837388902,9.321801831540,7.721459688929,1.888847774860,9.243982144129,7.696939631151,1.881253922998,9.218317596359,7.672558335638,1.873687782514,9.192778922526,7.648319039782,1.866150131588,9.167368848272,7.624225168439,1.858642101568,9.142090331176,7.552861502508,1.836275998379,9.067025657154,7.529365562537,1.828896037894,9.042288018591,7.506023991516,1.821550855119,9.017690858461,7.482836613821,1.814240251454,8.993234045595,7.459803984440,1.806964738547,8.968918184720,7.436926484521,1.799724612411,8.944743855127,7.414204130326,1.792520394935,8.920711110714,7.391636744799,1.785352288791,8.896820134206,7.369224548014,1.778220738301,8.873071220578,7.346966893978,1.771125798736,8.849464064068
9,10,-3.035830000000,-0.643874400000,2.275724000000,-3.034349822147,-0.643693583500,2.275220766197,-3.028170685673,-0.642294919543,2.273878699175,-3.026339364830,-0.641854474128,2.273576828049,-3.024619812976,-0.641420387320,2.273328714302,-3.022964722719,-0.640984619478,2.273101416968,-3.021355567172,-0.640544499211,2.272881384874,-3.016794512534,-0.639173966436,2.272193049929,-3.015302760415,-0.638713647740,2.271959748907,-3.013837693773,-0.638248697349,2.271721136927,-3.012396879776,-0.637779339029,2.271476614353,-3.010979022598,-0.637305848420,2.271226030438,-3.006898789476,-0.635851892246,2.270419328157,-3.005558499024,-0.635365622088,2.270144859868,-3.004237060599,-0.634876840863,2.269865024042,-3.002933109580,-0.634385751105,2.269580123194,-3.001645860188,-0.633892598379,2.269290121693,-2.997916649635,-0.632395791329,2.268379836334,-2.996688221886,-0.631896462595,2.268071794919,-2.995474114043,-0.631395888279,2.267760215293,-2.994273400570,-0.630894153819,2.267445023451,-2.993085762356,-0.630391353642,2.267126391703,-2.991910488735,-0.629887588507,2.266804667853,-2.990747507287,-0.629382937792,2.266479959312,-2.989596064377,-0.628877501861,2.266152536319,-2.988456046130,-0.628371331642,2.265822471667,-2.987326982955,-0.627864494362,2.265490070295
