,case,mean,std
1,DOM_CUB_NSLIP_2_SET_1_ANISO_125,0.30956510816628924,0.16381563615335404
2,DOM_CUB_NSLIP_2_SET_1_ANISO_150,0.3077586072389923,0.1675834747166966
3,DOM_CUB_NSLIP_2_SET_1_ANISO_175,0.3060818851614105,0.1715692344667494
4,DOM_CUB_NSLIP_2_SET_1_ANISO_200,0.30482268441754934,0.17447349269291046
5,DOM_CUB_NSLIP_2_SET_1_ANISO_300,0.3032192869883811,0.17896591726967928
6,DOM_CUB_NSLIP_2_SET_1_ANISO_400,0.30316707352162126,0.17915520578278274
7,DOM_CUB_NSLIP_2_SET_2_ANISO_125,0.3117603006474567,0.1679721354654619
8,DOM_CUB_NSLIP_2_SET_2_ANISO_150,0.31059738443692947,0.17424162319832864
9,DOM_CUB_NSLIP_2_SET_2_ANISO_175,0.3095108686124818,0.1784154498923372
10,DOM_CUB_NSLIP_2_SET_2_ANISO_200,0.3090336018628201,0.17997226526790858
11,DOM_CUB_NSLIP_2_SET_2_ANISO_300,0.3088381010417498,0.18055637151739773
12,DOM_CUB_NSLIP_2_SET_2_ANISO_400,0.30883559289728624,0.1805623533056198
13,DOM_CUB_NSLIP_2_SET_3_ANISO_125,0.3111308438399633,0.16451923573021748
14,DOM_CUB_NSLIP_2_SET_3_ANISO_150,0.3097891078008348,0.1690668874561163
15,DOM_CUB_NSLIP_2_SET_3_ANISO_175,0.30819709875070894,0.17480986084774477
16,DOM_CUB_NSLIP_2_SET_3_ANISO_200,0.30687854834959866,0.1797338283779343
17,DOM_CUB_NSLIP_2_SET_3_ANISO_300,0.30496138562932795,0.18807152674430447
18,DOM_CUB_NSLIP_2_SET_3_ANISO_400,0.3048727496224365,0.18852004628916819
19,DOM_CUB_NSLIP_2_SET_4_ANISO_125,0.31138583596225444,0.16024876998215137
20,DOM_CUB_NSLIP_2_SET_4_ANISO_150,0.3096537722361853,0.1628802194925366
21,DOM_CUB_NSLIP_2_SET_4_ANISO_175,0.3077655515521483,0.167560125299894
22,DOM_CUB_NSLIP_2_SET_4_ANISO_200,0.3064869826886326,0.17174013959637588
23,DOM_CUB_NSLIP_2_SET_4_ANISO_300,0.3052520813124421,0.17834965656013935
24,DOM_CUB_NSLIP_2_SET_4_ANISO_400,0.3052153173938011,0.17861746713553703
25,DOM_CUB_NSLIP_2_SET_5_ANISO_125,0.30689161561054185,0.1761029582274165
26,DOM_CUB_NSLIP_2_SET_5_ANISO_150,0.3048454830215438,0.18556721540935942
27,DOM_CUB_NSLIP_2_SET_5_ANISO_175,0.3036251842900354,0.1908386354756205
28,DOM_CUB_NSLIP_2_SET_5_ANISO_200,0.30319975546534694,0.19280366831563495
29,DOM_CUB_NSLIP_2_SET_5_ANISO_300,0.30539891819136594,0.19154194468494715
30,DOM_CUB_NSLIP_2_SET_5_ANISO_400,0.3030454720227945,0.19358217788717205
31,DOM_CUB_NSLIP_4_SET_1_ANISO_125,0.310719645293072,0.16680902028537356
32,DOM_CUB_NSLIP_4_SET_1_ANISO_150,0.30749256661669544,0.17522624976770648
33,DOM_CUB_NSLIP_4_SET_1_ANISO_175,0.3037335982971094,0.18327638662605347
34,DOM_CUB_NSLIP_4_SET_1_ANISO_200,0.30112416659429025,0.1887095296851374
35,DOM_CUB_NSLIP_4_SET_1_ANISO_300,0.2982868393377403,0.19606038320322328
36,DOM_CUB_NSLIP_4_SET_1_ANISO_400,0.29815951799698737,0.1964905728215748
37,DOM_CUB_NSLIP_4_SET_2_ANISO_125,0.30626995783782024,0.17231331423082194
38,DOM_CUB_NSLIP_4_SET_2_ANISO_150,0.3020163933304485,0.18414163148532542
39,DOM_CUB_NSLIP_4_SET_2_ANISO_175,0.2983394141277522,0.19569028654783416
40,DOM_CUB_NSLIP_4_SET_2_ANISO_200,0.29615592383799794,0.20390840572970786
41,DOM_CUB_NSLIP_4_SET_2_ANISO_300,0.29591129515573805,0.2129094919986185
