,case,mean,std
1,DOM_CUB_NSLIP_2_SET_1_ANISO_125,22.76688089768466,28.912105649684325
2,DOM_CUB_NSLIP_2_SET_1_ANISO_150,26.115608532299046,28.981991378041727
3,DOM_CUB_NSLIP_2_SET_1_ANISO_175,27.895754385632742,29.060960084984135
4,DOM_CUB_NSLIP_2_SET_1_ANISO_200,29.03336072291335,28.751908406155643
5,DOM_CUB_NSLIP_2_SET_1_ANISO_300,30.483716857811245,28.994366744647017
6,DOM_CUB_NSLIP_2_SET_1_ANISO_400,30.641337537304715,29.11670428795361
7,DOM_CUB_NSLIP_2_SET_2_ANISO_125,23.42995205577959,28.368104720589013
8,DOM_CUB_NSLIP_2_SET_2_ANISO_150,26.973974695984733,29.084235542805096
9,DOM_CUB_NSLIP_2_SET_2_ANISO_175,28.24369590758209,29.136031400375522
10,DOM_CUB_NSLIP_2_SET_2_ANISO_200,28.505503194623074,29.12730768336518
11,DOM_CUB_NSLIP_2_SET_2_ANISO_300,28.75795127915361,29.172169436626298
12,DOM_CUB_NSLIP_2_SET_2_ANISO_400,28.72186706173758,29.152509669187456
13,DOM_CUB_NSLIP_2_SET_3_ANISO_125,20.796934548320237,27.459644567557206
14,DOM_CUB_NSLIP_2_SET_3_ANISO_150,25.136493781745678,28.5178366007959
15,DOM_CUB_NSLIP_2_SET_3_ANISO_175,27.96270245207104,28.94084288883174
16,DOM_CUB_NSLIP_2_SET_3_ANISO_200,29.29863562262631,29.03587508515498
17,DOM_CUB_NSLIP_2_SET_3_ANISO_300,30.493578628458682,28.977360586337472
18,DOM_CUB_NSLIP_2_SET_3_ANISO_400,30.657335087678696,28.995664791334352
19,DOM_CUB_NSLIP_2_SET_4_ANISO_125,22.36798803372637,28.23722533028058
20,DOM_CUB_NSLIP_2_SET_4_ANISO_150,25.894301914161336,28.84825676567576
21,DOM_CUB_NSLIP_2_SET_4_ANISO_175,27.93053396557605,28.815282820342976
22,DOM_CUB_NSLIP_2_SET_4_ANISO_200,29.294248243110033,28.911482818507828
23,DOM_CUB_NSLIP_2_SET_4_ANISO_300,29.96604922114393,28.70060702946466
24,DOM_CUB_NSLIP_2_SET_4_ANISO_400,30.14623801475087,28.744561349703048
25,DOM_CUB_NSLIP_2_SET_5_ANISO_125,15.649616285091883,26.238840796002854
26,DOM_CUB_NSLIP_2_SET_5_ANISO_150,21.741159527943587,28.8338291074362
27,DOM_CUB_NSLIP_2_SET_5_ANISO_175,23.62091019121254,29.347580402819865
28,DOM_CUB_NSLIP_2_SET_5_ANISO_200,23.731882459416216,29.12239855715493
29,DOM_CUB_NSLIP_2_SET_5_ANISO_300,26.036270860933136,29.054832059767673
30,DOM_CUB_NSLIP_2_SET_5_ANISO_400,23.949477244832508,29.19545649860818
31,DOM_CUB_NSLIP_4_SET_1_ANISO_125,22.769480388709685,28.459690587131824
32,DOM_CUB_NSLIP_4_SET_1_ANISO_150,27.929012957900216,29.28308642586149
33,DOM_CUB_NSLIP_4_SET_1_ANISO_175,30.30969762019329,28.90399716347262
34,DOM_CUB_NSLIP_4_SET_1_ANISO_200,31.776717583772427,28.94885662576609
35,DOM_CUB_NSLIP_4_SET_1_ANISO_300,34.17916539345714,29.101385672258417
36,DOM_CUB_NSLIP_4_SET_1_ANISO_400,34.45675696674251,29.28274554639161
37,DOM_CUB_NSLIP_4_SET_2_ANISO_125,20.927524155023118,28.16062008674557
38,DOM_CUB_NSLIP_4_SET_2_ANISO_150,27.08341947003371,29.094056016278405
39,DOM_CUB_NSLIP_4_SET_2_ANISO_175,30.22763754465632,29.133782785458926
40,DOM_CUB_NSLIP_4_SET_2_ANISO_200,31.88017631907603,29.248349705354624
41,DOM_CUB_NSLIP_4_SET_2_ANISO_300,34.57208132697498,29.646950457258036
42,DOM_CUB_NSLIP_4_SET_2_ANISO_400,33.408051256949335,29.362618393449733
43,DOM_CUB_NSLIP_4_SET_3_ANISO_125,26.104066943033665,28.735720071505863
