,case,mean,std
78,DOM_CUB_NSLIP_6_SET_3_ANISO_400,77.8070187363872,28.240268819603685
79,DOM_CUB_NSLIP_6_SET_4_ANISO_125,81.90791024242422,23.94417287990854
80,DOM_CUB_NSLIP_6_SET_4_ANISO_150,80.34534433968818,25.120053387971616
81,DOM_CUB_NSLIP_6_SET_4_ANISO_175,80.62723520603033,25.32063664659681
82,DOM_CUB_NSLIP_6_SET_4_ANISO_200,80.56367401166428,25.80031268271438
83,DOM_CUB_NSLIP_6_SET_4_ANISO_300,78.99124995662311,27.26348861637175
84,DOM_CUB_NSLIP_6_SET_4_ANISO_400,78.84192259244278,27.145206173996193
85,DOM_CUB_NSLIP_6_SET_5_ANISO_125,82.23581068731566,23.1780786816115
86,DOM_CUB_NSLIP_6_SET_5_ANISO_150,79.94806356695986,26.00797867218256
87,DOM_CUB_NSLIP_6_SET_5_ANISO_175,78.63056051552648,27.24983822734483
88,DOM_CUB_NSLIP_6_SET_5_ANISO_200,78.67854917335889,27.45349777034283
89,DOM_CUB_NSLIP_6_SET_5_ANISO_300,78.88986441495553,27.705293955545766
90,DOM_CUB_NSLIP_6_SET_5_ANISO_400,78.14918880634148,27.980481596520757
